Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM6149865,"peripheral blood, bladder cancer-r1 (PN0144)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149865/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149866,"peripheral blood, bladder cancer-r1 (PN0159)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149866/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149867,"peripheral blood, bladder cancer-r1 (PN0174)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149867/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149868,"peripheral blood, bladder cancer-r1 (PN0183)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149868/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149869,"peripheral blood, bladder cancer-r1 (PN0188)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149869/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149870,"peripheral blood, bladder cancer-r1 (PN0192)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149870/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149871,"peripheral blood, bladder cancer-r1 (PN0198)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149871/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149872,"peripheral blood, bladder cancer-r1 (PN0238)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149872/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149873,"peripheral blood, bladder cancer-r1 (PN0255)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149873/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149874,"peripheral blood, bladder cancer-r1 (PN0269)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149874/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149875,"peripheral blood, bladder cancer-r1 (PN0271)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149875/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149876,"peripheral blood, bladder cancer-r1 (PN0278)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149876/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149877,"peripheral blood, bladder cancer-r1 (PN0284)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149877/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149878,"peripheral blood, bladder cancer-r1 (PN0288)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149878/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149879,"peripheral blood, bladder cancer-r1 (PN0293)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149879/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149880,"peripheral blood, bladder cancer-r1 (PN0309)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149880/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149881,"peripheral blood, bladder cancer-r1 (PN0321)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149881/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149882,"peripheral blood, bladder cancer-r1 (PN0420)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149882/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149883,"peripheral blood, bladder cancer-r1 (PN0431)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149883/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149884,"peripheral blood, bladder cancer-r1 (PN0437)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149884/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149885,"peripheral blood, bladder cancer-r1 (PN0446)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149885/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149886,"peripheral blood, breast cancer-r1 (BT0001)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149886/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149887,"peripheral blood, breast cancer-r1 (BT0004)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149887/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149888,"peripheral blood, breast cancer-r1 (BT0005)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149888/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149889,"peripheral blood, breast cancer-r1 (BT0007)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149889/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149890,"peripheral blood, breast cancer-r1 (BT0014)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149890/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149891,"peripheral blood, breast cancer-r1 (CTL0724)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149891/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149892,"peripheral blood, breast cancer-r1 (CTL0912)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149892/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149893,"peripheral blood, breast cancer-r1 (CTL231)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149893/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149894,"peripheral blood, breast cancer-r1 (CTL253)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149894/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149895,"peripheral blood, breast cancer-r1 (CTL386)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149895/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149896,"peripheral blood, breast cancer-r1 (LE0001)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149896/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149897,"peripheral blood, breast cancer-r1 (LE0002)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149897/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149898,"peripheral blood, breast cancer-r1 (LE0003)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149898/suppl",,"Adam Dempsey","Aug 31, 2024"
GSM6149899,"peripheral blood, breast cancer-r1 (LE0005)","RNA","Homo sapiens",1,GPL570,GSE203024,"CEL;CHP","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM6149nnn/GSM6149899/suppl",,"Adam Dempsey","Aug 31, 2024"
